species,pet_id,pet_name,stage,feed_value_wyz,boarding_food,food_per_feed
种子类,128,种子,1,30,一般宠物食物,2
种子类,129,发芽,2,60,一般宠物食物,2
种子类,133,小南瓜,3,120,一般宠物食物,2
种子类,135,花苞,3,120,一般宠物食物,2
种子类,132,菜头弟弟,3,120,一般宠物食物,2
种子类,134,豆荚皮,3,120,一般宠物食物,2
种子类,138,勇士菜头,4,240,营养满分宠物食物,1
种子类,551,勇士豌豆,4,240,营养满分宠物食物,1
种子类,140,南瓜(宝石),4,240,营养满分宠物食物,1
种子类,139,南瓜头,4,240,营养满分宠物食物,1
种子类,552,向日葵,4,240,营养满分宠物食物,1
种子类,141,明星南瓜,4,240,营养满分宠物食物,1
种子类,553,玫瑰,4,240,营养满分宠物食物,1
种子类,137,菜头王,4,240,营养满分宠物食物,1
种子类,136,菜头辣妹,4,240,营养满分宠物食物,1
种子类,549,豌豆,4,240,营养满分宠物食物,1
种子类,550,豌豆辣妹,4,240,营养满分宠物食物,1
种子类,4064,优雅的菜头辣妹,5,5000,营养满分宠物食物,1
种子类,4070,优雅的豌豆辣妹,5,5000,营养满分宠物食物,1
种子类,4067,侏罗纪的蚊子,5,5000,营养满分宠物食物,1
种子类,4072,华丽的向日葵,5,5000,营养满分宠物食物,1
种子类,4068,南瓜大丸子,5,5000,营养满分宠物食物,1
种子类,4066,南瓜小丸子,5,5000,营养满分宠物食物,1
种子类,4065,大号勇士菜头,5,5000,营养满分宠物食物,1
种子类,4071,大号勇士豌豆,5,5000,营养满分宠物食物,1
种子类,4073,玫瑰夫人,5,5000,营养满分宠物食物,1
种子类,4056,真蔬果女妖精,5,5000,营养满分宠物食物,1
种子类,4055,真蔬果男妖精,5,5000,营养满分宠物食物,1
种子类,4063,菜头大魔王,5,5000,营养满分宠物食物,1
种子类,555,蔬果女妖精,5,5000,营养满分宠物食物,1
种子类,554,蔬果男妖精,5,5000,营养满分宠物食物,1
种子类,4069,豪野的豌豆,5,5000,营养满分宠物食物,1
种子类,23229,兵长豌豆,6,5200,高级宠物食物,3
种子类,23227,哈洛温,6,5200,高级宠物食物,3
种子类,23231,土豪豌豆,6,5200,高级宠物食物,3
种子类,23228,太阳花,6,5200,高级宠物食物,3
种子类,23230,年幼的菜头王子,6,5200,高级宠物食物,3
种子类,24755,真蔬果女妖精仙子,6,5200,高级宠物食物,3
种子类,24754,真蔬果男妖精仙子,6,5200,高级宠物食物,3
种子类,23233,蔬果女妖精仙子,6,5200,高级宠物食物,3
种子类,23232,蔬果男妖精仙子,6,5200,高级宠物食物,3
种子类,23226,黑玫瑰,6,5200,高级宠物食物,3
种子类,24800,七亿年前的蚊子,7,8200,高级宠物食物,4
种子类,24805,太阳王子索拉,7,8200,高级宠物食物,4
种子类,24798,战场的支配者菜头,7,8200,高级宠物食物,4
种子类,24807,时尚豌豆,7,8200,高级宠物食物,4
种子类,24806,明洞豌豆,7,8200,高级宠物食物,4
种子类,24802,森之精灵妖精,7,8200,高级宠物食物,4
种子类,26574,森之精灵妖精.G,7,33000,,
种子类,24804,白蔷薇公主,7,8200,高级宠物食物,4
种子类,24796,皇家帝国菜头大王,7,8200,高级宠物食物,4
种子类,24803,真森之精灵妖精,7,8200,高级宠物食物,4
种子类,26575,真森之精灵妖精.G,7,33000,,
种子类,24810,真花之精灵妖精,7,8200,高级宠物食物,4
种子类,26577,真花之精灵妖精.G,7,33000,,
